occ_year,occ_month,occ_dow,occ_day,occ_hour,division,premises_type,bike_make,bike_type,bike_colour,bike_cost
2013,December,Thursday,26,19,D14,Commercial,FELT,RC,SILRED,1300
2013,December,Monday,30,17,D53,Outside,KHS,OT,WHI,500
2013,December,Wednesday,25,10,D51,Outside,BI,TO,RED,400
2013,December,Wednesday,25,16,D51,Apartment,CA,MT,WHI,1500
2014,January,Wednesday,1,12,D52,Apartment,GI,OT,BLU,1019
2014,January,Saturday,4,18,D51,Apartment,MIELE,RG,BLU,200
2014,January,Friday,3,8,D13,Other,OT,MT,GRY,560
2013,December,Monday,23,9,D51,Outside,E-BIKE,EL,GRN,1000
2014,January,Saturday,4,20,D53,House,GIANT,MT,GRNMRN,900
2013,December,Saturday,28,16,D32,House,GENESIS,MT,WHITE,1500
2013,November,Friday,22,8,D55,Apartment,GIANT,OT,YELRED,1300
2013,December,Friday,27,20,D14,Outside,AMIGO,EL,RED,3300
2014,January,Tuesday,7,8,D55,Other,GIANT,MT,SILBLU,150
2014,January,Sunday,5,23,D51,Commercial,VELOTEQ,EL,BLK,1800
2014,January,Wednesday,8,20,D51,Apartment,OT,RG,BLK,479
2014,January,Friday,10,6,D52,Outside,SUPERCYCLE,OT,GRY,400
2014,January,Friday,10,9,D14,Outside,EMMO,SC,BLK,800
2014,January,Saturday,11,7,D14,House,CCM,OT,BLU,200
2013,June,Thursday,6,9,D52,Commercial,UK,RG,BLK,700
2014,January,Saturday,11,7,D14,House,NEXT,OT,BLK,200
2014,January,Saturday,11,23,D55,Apartment,DEVINCI,MT,BLURED,900
2014,January,Wednesday,8,17,D32,Apartment,CA,RC,WHI,2399
2014,January,Monday,13,6,D11,Other,KHS,RC,None,1100
2014,January,Tuesday,14,8,D22,Educational,OT,RG,BLU,600
2014,January,Tuesday,14,10,D52,Commercial,UK,RG,ONG,2000
2014,January,Wednesday,15,21,D51,Outside,GIMELLY,EL,RED,750
2014,January,Sunday,12,10,D14,Apartment,SC,MT,DBL,300
2014,January,Saturday,18,4,D11,House,NO,RG,BLU,120
2014,January,Thursday,9,14,D11,Other,GT,MT,BLK,350
2014,January,Friday,17,20,D52,Outside,CCM,RG,BRNWHI,100
2014,January,Thursday,9,13,D14,House,KONA,RG,GRN,2000
2014,January,Wednesday,22,19,D43,Commercial,SPECIALIZED,RC,BLK,3000
2014,January,Sunday,5,12,D51,Outside,XINGYUE,SC,BLK,1800
2014,January,Saturday,25,18,D51,Commercial,CERVELO,RC,BLK,10000
2014,January,Monday,27,17,D51,Outside,GT,RG,RED,1100
2014,January,Tuesday,28,21,D53,Outside,THIN BLUE LINE,RC,BLU,1000
2014,January,Monday,27,17,D51,Outside,TR,RG,WHI,1600
2014,January,Wednesday,29,8,D12,Commercial,NO,RG,BLK,1800
2014,February,Saturday,1,15,D51,Outside,OTHER,EL,WHI,850
2014,February,Sunday,2,1,D55,Apartment,GT,MT,GRY,200
2014,January,Monday,27,9,D11,House,UK,RG,GRY,400
2014,February,Monday,3,19,D32,Other,ROCKY MOUNTAIN,MT,GRN,1400
2014,February,Tuesday,4,17,D14,Apartment,OTHER,SC,BLU,2000
2014,January,Friday,31,15,D12,Other,SWINN,MT,GRN,500
2014,February,Tuesday,4,18,D51,Outside,RAVEN,EL,RED,400
2014,January,Saturday,25,8,D52,Commercial,SCAPIN,RC,None,9423
2014,February,Friday,7,20,D55,Commercial,OTHER,RC,WHI,4000
2014,February,Friday,7,20,D55,Commercial,SCOTT,MT,None,2500
2014,January,Wednesday,1,18,D52,Apartment,OT,EL,YEL,1750
2014,February,Tuesday,11,10,D53,Commercial,SPECIALIZED,RC,RED,3300
2014,February,Wednesday,12,9,D13,Outside,OT,EL,BLK,1700
2014,February,Saturday,15,18,D14,Outside,KHS,OT,BLKGRY,200
2014,February,Sunday,16,19,D51,House,RALEIGH,RC,BLK,500
2014,February,Sunday,16,14,D52,Outside,DB,RG,DGR,150
2014,February,Sunday,16,20,D12,Outside,EMMO,EL,BLK,1500
2014,February,Friday,14,12,D14,Outside,RA,MT,BLK,100
2014,February,Monday,24,9,D23,House,E-FADA,EL,BLK,2000
2014,February,Tuesday,25,8,D51,Outside,SPECIALIZED,OT,BLK,700
2013,November,Wednesday,27,12,D14,Apartment,GARDIN,TO,RED,250
2014,February,Sunday,23,14,D11,Other,MKM,RC,GRYWHI,1000
2014,February,Sunday,23,14,D11,Other,MKM,RC,GRYWHI,300
2014,February,Sunday,23,14,D11,Other,SPECIALIZED,RG,WHI,1850
2014,March,Monday,3,20,D51,Other,MICGARGI,OT,BLK,1500
2014,March,Tuesday,4,21,D55,Commercial,GI,MT,BLK,800
2014,March,Monday,3,19,D51,Outside,NO,MT,RED,80
2014,March,Wednesday,5,8,D52,Outside,OT,BM,WHI,350
2014,March,Wednesday,5,20,D51,Apartment,EMMA,EL,BGE,2000
2014,March,Wednesday,5,8,D52,Outside,OT,BM,BLK,550
2014,March,Thursday,6,9,D51,Outside,EMMO,EL,YEL,2000
2014,March,Wednesday,5,10,D51,Outside,KH,RG,BLK,500
2014,March,Friday,7,10,D55,House,CCM,MT,BLKWHI,400
2014,March,Saturday,8,7,D53,Other,OT,OT,WHI,2500
2014,March,Saturday,8,16,D52,Outside,OT,RG,BLK,500
2014,March,Saturday,8,22,D53,Outside,EAGLE,SC,WHI,1600
2014,February,Sunday,23,15,D11,House,RALEIGH,OT,BLU,500
2014,March,Friday,7,15,D52,Outside,KO,RG,GRN,700
2014,March,Monday,10,19,D51,Apartment,OTHER,MT,GRN,200
2013,February,Saturday,9,20,D14,Apartment,FOCUS,OT,BLKRED,2200
2014,March,Saturday,8,9,D51,Outside,SPECIALIZED,OT,BLK,2000
2014,March,Monday,10,17,D11,Other,DB,MT,RED,300
2014,March,Monday,10,17,D11,Other,RA,RG,GRY,400
2014,January,Wednesday,15,11,D55,Transit,UK,MT,LBL,400
2014,March,Monday,10,22,D51,Commercial,OTHER,SC,BLK,500
2014,March,Saturday,8,19,D41,Outside,OTHER,SC,RED,500
2014,March,Tuesday,11,11,D55,Commercial,OPUS,MT,RED,1000
2014,March,Wednesday,12,19,D53,Other,SU,RC,BLK,250
2014,March,Sunday,16,9,D33,House,IRON HORSE,OT,BLK,300
2014,March,Wednesday,19,17,D51,Educational,SC,RG,LGR,300
2014,March,Thursday,20,13,D51,Outside,EMMO,EL,BLK,895
2014,March,Monday,10,21,D53,House,KONA,MT,RED,200
2014,March,Wednesday,19,3,D53,House,OT,MT,RED,300
2014,March,Friday,14,19,D51,Outside,GIO,EL,BLK,1000
2014,March,Wednesday,19,3,D53,House,TR,MT,SIL,400
2014,March,Wednesday,19,10,D52,Outside,GIANT,TO,RED,100
2014,March,Friday,21,9,D13,Other,RALEIGH,OT,WHIBRN,200
2014,March,Monday,24,12,D52,Outside,EMMO,EL,SIL,1800
2014,March,Sunday,23,23,D22,House,KONA,MT,WHI,500
2014,March,Tuesday,25,6,D52,Other,NO,RG,LBL,800
2014,March,Thursday,27,6,D55,Outside,UNKNOWN MAKE,EL,BLK,2000
2014,March,Thursday,27,4,D51,Outside,EMMO,EL,BLK,3000
2014,March,Friday,28,15,D51,Outside,OT,RG,BLU,800
2014,March,Saturday,29,15,D51,Outside,EMMO,EL,GRN,800
2014,March,Tuesday,18,18,D53,House,SPECIALIZED,MT,SIL,2000
